X,Y,Z
7.937810093867727,64.86685223953205,0.0
8.987462740403984,64.73282033183975,0.0
10.03253316726892,64.56680135910742,0.0
11.0720184654791,64.3688004876723,0.0
12.10490059264725,64.13882650919571,0.0
13.13014398643389,63.87689324097348,0.0
14.14669299091983,63.58302123036027,0.0
15.15346937699276,63.25723974281428,0.0
16.14936994227895,62.89958905695377,0.0
17.13326420182655,62.5101230920731,0.0
18.10399223031631,62.08891237870545,0.0
19.06036265821419,61.6360474058117,0.0
20.00115089080206,61.1516423566709,0.0
20.92509759496043,60.63583925463201,0.0
21.83090751780396,60.08881253270506,0.0
22.71724870831924,59.51077403670524,0.0
23.58271346079312,58.90200677012075,0.0
24.42596747919657,58.2627645829103,0.0
25.2455365983557,57.59342819949212,0.0
26.0399455690579,56.89441766697147,0.0
26.80768782153403,56.16622157065506,0.0
27.54722913694665,55.40940419836293,0.0
28.25701245429992,54.62461282145316,0.0
28.93546392091506,53.81258495342426,0.0
29.58100027963268,52.97415541474851,0.0
30.19203766218115,52.11026299967167,0.0
30.76700182448723,51.22195650905773,0.0
31.30433981533804,50.31039988551658,0.0
31.80253301465074,49.37687616611585,0.0
32.26011141255052,48.42278995741958,0.0
32.67566892757112,47.44966814100541,0.0
33.04787948470634,46.45915853920112,0.0
33.37551349965746,45.45302630436052,0.0
33.65745433689467,44.4331478803597,0.0
33.90762255832012,43.40496679372281,0.0
34.2114567484334,42.39150604845143,0.0
34.58078422066807,41.4000287822978,0.0
35.01300881828369,40.43430344981593,0.0
35.50524351548255,39.49773351193708,0.0
36.05438393670591,38.59334529387042,0.0
36.65717806108234,37.72378935531661,0.0
37.31028926700231,36.89135328326572,0.0
38.01034992948863,36.0979843323445,0.0
38.75400661806916,35.34531663731513,0.0
39.53795545773061,34.63470263468258,0.0
40.3589687570025,33.96724579097714,0.0
41.21391371043277,33.34383316807271,0.0
42.09976424841974,32.76516665605178,0.0
43.01360715229488,32.2317920895529,0.0
43.95264350659065,31.74412578021604,0.0
44.91418645902533,31.30247824239437,0.0
45.89565612949439,30.90707506700198,0.0
46.89457237194772,30.55807501890907,0.0
47.90854596028258,30.2555855077988,0.0
48.93526864876378,29.99967562158215,0.0
49.97250245266801,29.79038692467439,0.0
51.01802088552979,29.62774852959442,0.0
52.06977788694947,29.51175746180217,0.0
53.1256385695408,29.44242482224971,0.0
54.18353084520187,29.4197470702207,0.0
55.24174876489752,29.41974707022071,0.0
56.29992046817851,29.41441354239344,0.0
57.35603969389836,29.35119089081338,0.0
58.40529263662848,29.21537058570012,0.0
59.44233156693949,29.00581691427182,0.0
60.46156844963841,28.72211426186212,0.0
61.4573427705336,28.36468203647026,0.0
62.42453616502118,27.93585891815401,0.0
63.35574290923196,27.43380688195172,0.0
64.2389065331874,26.85155858885193,0.0
65.05975794436546,26.18444029066218,0.0
65.8024570394345,25.43147400637389,0.0
66.45128533978585,24.5963007605647,0.0
66.99113794754572,23.68697222836114,0.0
67.4117641352638,22.71669106491028,0.0
67.7116445757826,21.70251302205556,0.0
67.88626166923513,20.6594755521502,0.0
67.94013262341076,19.60312665328658,0.0
67.94013262341076,18.54490982801924,0.0
67.94013262341076,17.48669350449433,0.0
67.94013262341076,16.42847718096964,0.0
67.94013262341076,15.37026085744487,0.0
67.94013262341076,14.31204345559088,0.0
67.94013262341076,13.25382821039512,0.0
67.94013262341076,12.19561188687028,0.0
67.94013262341076,11.13739556334538,0.0
67.94013262341076,10.07917923982061,0.0
67.94013262341078,9.020950339522255,0.0
67.94013262341078,7.962747205031221,0.0
67.94013262341078,6.90454332410006,0.0
67.94013262341078,5.846313945721048,0.0
67.94013262341078,4.788097622196485,0.0
67.94013262341078,3.729877454610552,0.0
67.94013262341078,2.671651128717297,0.0
67.94013262341078,1.613476764581179,0.0
67.94013262341078,0.5552494065506927,0.0
67.94013262341078,-0.5029733608175678,0.0
67.94013262341078,-1.561196271203231,0.0
67.94013262341078,-2.619418891083934,0.0
67.94013262341078,-3.67763711278371,0.0
67.94013262341078,-4.735854993969723,0.0
67.94013262341078,-5.794069292380054,0.0
67.94013262341078,-6.852286203453489,0.0
67.94013262341078,-7.910508003604649,0.0
67.94013262341078,-8.968722271474565,0.0
67.94013262341078,-10.0269358410957,0.0
67.94013262341078,-11.08515749018088,0.0
67.94013262341078,-12.14339569150785,0.0
67.94013262341078,-13.20160422549738,0.0
67.94013262341078,-14.25981069972455,0.0
67.94013262341078,-15.31802546376508,0.0
67.94013262341078,-16.37626542699909,0.0
67.94013262341078,-17.43444182614803,0.0
67.94013262341078,-18.49265815069147,0.0
67.94013262341078,-19.55087745242681,0.0
67.94013262341078,-20.609089343388,0.0
67.94013262341078,-21.66730443863884,0.0
67.94013262341078,-22.72550166437691,0.0
67.94013262341078,-23.78372005868327,0.0
67.94013262341078,-24.84194002765205,0.0
67.94013262341078,-25.90016191269695,0.0
67.94013262341078,-26.95838441401765,0.0
67.94013262341078,-28.01660764974646,0.0
67.94013262341078,-29.07481384767286,0.0
67.94013262341078,-30.13304104164959,0.0
67.94013262341078,-31.19125628090628,0.0
67.94013262341078,-32.24945744242929,0.0
67.94013262341078,-33.30768759913226,0.0
67.94013262341078,-34.36588185125603,0.0
67.94013262341078,-35.42411007696106,0.0
67.94013262341078,-36.48233239814861,0.0
67.94013262341078,-37.54055317711483,0.0
67.94013262341078,-38.59877120581355,0.0
67.94013262341078,-39.65698770672871,0.0
67.94013262341078,-40.71520386562761,0.0
67.94013262341078,-41.77342105584014,0.0
67.94013262341078,-42.83164053967456,0.0
67.94013262341078,-43.88985806492176,0.0
67.94013262341078,-44.94807519503415,0.0
67.94013262341078,-46.0062964998143,0.0
67.94013262341078,-47.06449488059158,0.0
67.94013262341078,-48.12271850979121,0.0
67.94013262341078,-49.18093613480579,0.0
67.94013262341078,-50.23913903235229,0.0
67.94013262341078,-51.29727513089878,0.0
67.94013262341078,-52.35558384814467,0.0
67.94013262341078,-53.41380017166951,0.0
67.94013262341078,-54.47201649519435,0.0
67.94013262341078,-55.53023281871919,0.0
67.94013262341078,-56.5884491422441,0.0
67.93971240425905,-57.6466641026779,0.0
67.86696027258094,-58.70176283366102,0.0
67.67070905824887,-59.74099455134274,0.0
67.35108528313742,-60.74908830928958,0.0
66.90494952106854,-61.70778848727783,0.0
66.33734149894927,-62.60006685373493,0.0
65.66449779410047,-63.4160167155987,0.0
64.90247379061466,-64.1495107188583,0.0
64.06763273068965,-64.79909390136584,0.0
63.1752405658167,-65.36719553568237,0.0
62.23901945356177,-65.85983693747649,0.0
61.26545026630707,-66.27377354699135,0.0
60.26101918939327,-66.6058962738174,0.0
59.23280612825723,-66.85487469607355,0.0
58.18794781279161,-67.0207067615742,0.0
57.1332201978923,-67.10307877609002,0.0
56.07512885686093,-67.1128731277656,0.0
55.01691240451435,-67.1128731277656,0.0
53.95869581650466,-67.1128731277656,0.0
52.90047936353793,-67.1128731277656,0.0
51.84226287382068,-67.1128731277656,0.0
50.7840463523746,-67.1128731277656,0.0
49.72582443245026,-67.1128731277656,0.0
48.6676140653052,-67.1128731277656,0.0
47.60939825943813,-67.1128731277656,0.0
46.55118216626316,-67.1128731277656,0.0
45.492965856622,-67.1128731277656,0.0
44.43474934047181,-67.1128731277656,0.0
43.37653254117158,-67.1128731277656,0.0
42.31831574965845,-67.1128731277656,0.0
41.2600987604734,-67.1128731277656,0.0
40.2018879113137,-67.1128731277656,0.0
39.14367471332914,-67.1128731277656,0.0
38.08545726612509,-67.1128731277656,0.0
37.0272372504143,-67.1128731277656,0.0
35.97081105532844,-67.15710029929448,0.0
34.95487184263185,-67.43772532295849,0.0
34.0813316241783,-68.0271364602589,0.0
33.38300136173109,-68.82004781041277,0.0
32.80826701383708,-69.70794331085729,0.0
32.30650259703151,-70.63951531600686,0.0
31.83906568884315,-71.58887817492511,0.0
31.38424969389119,-72.54438055921652,0.0
30.92691332423771,-73.49868044317115,0.0
30.45298252151703,-74.4447798899575,0.0
29.94583428910495,-75.37345524362945,0.0
29.38901621974816,-76.27312926143179,0.0
28.77130083324438,-77.132030563997,0.0
28.08446803468156,-77.93660064673021,0.0
27.32286893734407,-78.6706217579584,0.0
26.48598755137338,-79.3173986778271,0.0
25.58285176900741,-79.86789488265951,0.0
24.62408420041855,-80.31444757774504,0.0
23.6203538257823,-80.64772325727736,0.0
22.58531189310727,-80.86558829233687,0.0
21.5335287339077,-80.97817400085358,0.0
20.47574184534621,-81.00000116229059,0.0
19.41753636696151,-81.00000116229059,0.0
